epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,440.907,1.34894,1.0596,1.12598,0.55465,0.62195,0.60415,0.33748,1.54253,1.24537,1.32696,0.0011684,0.0011684,0.0011684
44,451.134,1.36143,1.03612,1.1505,0.57023,0.66829,0.61286,0.34389,1.54496,1.24748,1.3086,0.0011486,0.0011486,0.0011486
45,461.367,1.36547,1.0569,1.12011,0.5625,0.6648,0.5973,0.32884,1.6082,1.29133,1.34098,0.0011288,0.0011288,0.0011288
46,471.558,1.35532,1.06867,1.13089,0.5921,0.64634,0.59386,0.33339,1.59096,1.26026,1.3602,0.001109,0.001109,0.001109
47,481.777,1.35688,1.02078,1.13305,0.53168,0.70057,0.62091,0.35044,1.55472,1.22575,1.31509,0.0010892,0.0010892,0.0010892
48,492.042,1.34474,1.03851,1.10171,0.60598,0.64893,0.63471,0.36349,1.5139,1.19064,1.28424,0.0010694,0.0010694,0.0010694
49,502.342,1.339,1.04305,1.13667,0.59473,0.61463,0.61535,0.34311,1.60384,1.2456,1.31237,0.0010496,0.0010496,0.0010496
50,512.607,1.31722,1.00653,1.10354,0.61121,0.6561,0.62943,0.35844,1.50476,1.18713,1.28574,0.0010298,0.0010298,0.0010298
51,523.016,1.30911,1.00731,1.11655,0.62278,0.62439,0.61956,0.35756,1.51133,1.19745,1.29136,0.00101,0.00101,0.00101
52,533.272,1.3348,1.05304,1.13189,0.58552,0.61463,0.59398,0.32805,1.55973,1.22187,1.30862,0.0009902,0.0009902,0.0009902
53,543.599,1.27908,0.9731,1.1218,0.59165,0.63659,0.60805,0.34103,1.56608,1.21872,1.31871,0.0009704,0.0009704,0.0009704
54,553.875,1.31167,0.94987,1.0967,0.57461,0.6878,0.60034,0.34436,1.56906,1.27739,1.33035,0.0009506,0.0009506,0.0009506
55,564.091,1.29716,0.99448,1.08204,0.54493,0.66341,0.59218,0.33044,1.62391,1.27391,1.36676,0.0009308,0.0009308,0.0009308
56,574.359,1.27241,0.97236,1.0833,0.55519,0.6878,0.6355,0.36439,1.49745,1.17498,1.29269,0.000911,0.000911,0.000911
57,584.653,1.25906,0.97628,1.09494,0.59415,0.68914,0.63795,0.36699,1.50371,1.16469,1.29971,0.0008912,0.0008912,0.0008912
58,594.991,1.26475,1.00449,1.10178,0.60624,0.65366,0.62903,0.35976,1.55024,1.21124,1.31595,0.0008714,0.0008714,0.0008714
59,605.196,1.2668,0.98558,1.10208,0.62472,0.63415,0.63723,0.36558,1.49577,1.16213,1.29397,0.0008516,0.0008516,0.0008516
60,615.416,1.26136,0.97232,1.11621,0.58772,0.6561,0.64594,0.37196,1.53521,1.19335,1.30139,0.0008318,0.0008318,0.0008318
61,625.803,1.21381,0.94797,1.07872,0.56339,0.66092,0.62844,0.36585,1.50821,1.18711,1.29712,0.000812,0.000812,0.000812
62,636.041,1.2446,0.97537,1.0718,0.62424,0.63902,0.62971,0.36593,1.50704,1.18203,1.28582,0.0007922,0.0007922,0.0007922
63,646.239,1.20502,0.93741,1.06373,0.58949,0.63902,0.63244,0.35746,1.52712,1.21092,1.288,0.0007724,0.0007724,0.0007724
64,656.531,1.20306,0.92403,1.05829,0.58612,0.68293,0.6398,0.36723,1.52075,1.19748,1.30869,0.0007526,0.0007526,0.0007526
65,666.832,1.21,0.89734,1.07508,0.59977,0.67618,0.63582,0.37251,1.53505,1.18845,1.30678,0.0007328,0.0007328,0.0007328
66,677.067,1.21454,0.92081,1.06845,0.63253,0.65075,0.62919,0.36267,1.55215,1.23019,1.33488,0.000713,0.000713,0.000713
67,687.266,1.208,0.90766,1.05978,0.57975,0.69268,0.63106,0.37366,1.49183,1.19716,1.29382,0.0006932,0.0006932,0.0006932
68,697.612,1.18387,0.91817,1.07937,0.60304,0.65954,0.64622,0.38393,1.48056,1.15703,1.29009,0.0006734,0.0006734,0.0006734
69,707.94,1.13586,0.86507,1.0545,0.60793,0.66184,0.65136,0.38729,1.48831,1.1782,1.28399,0.0006536,0.0006536,0.0006536
70,718.265,1.19148,0.93772,1.06809,0.60442,0.7122,0.64855,0.37552,1.52191,1.1885,1.30563,0.0006338,0.0006338,0.0006338
71,728.517,1.17455,0.91108,1.05351,0.54906,0.72164,0.63714,0.36717,1.50493,1.15552,1.30505,0.000614,0.000614,0.000614
72,738.822,1.18169,0.93199,1.07599,0.58113,0.69512,0.65311,0.3717,1.5263,1.17474,1.31081,0.0005942,0.0005942,0.0005942
73,749.215,1.17118,0.87391,1.07055,0.57859,0.6561,0.61933,0.35806,1.55709,1.29562,1.33158,0.0005744,0.0005744,0.0005744
74,759.804,1.18052,0.91355,1.07066,0.57992,0.6878,0.63673,0.36198,1.52526,1.22109,1.31887,0.0005546,0.0005546,0.0005546
75,770.951,1.15784,0.90997,1.0609,0.61969,0.64383,0.64352,0.37093,1.50744,1.21474,1.30618,0.0005348,0.0005348,0.0005348
76,781.998,1.16148,0.88945,1.05948,0.589,0.67073,0.64484,0.36983,1.53579,1.24634,1.3063,0.000515,0.000515,0.000515
77,792.265,1.09044,0.84089,1.025,0.59852,0.6561,0.63691,0.36742,1.55512,1.3304,1.32888,0.0004952,0.0004952,0.0004952
78,802.568,1.13001,0.87075,1.03595,0.57291,0.67561,0.63605,0.36627,1.53994,1.20901,1.32577,0.0004754,0.0004754,0.0004754
79,812.818,1.10621,0.84995,1.03937,0.58443,0.68537,0.65578,0.38037,1.52078,1.18049,1.31316,0.0004556,0.0004556,0.0004556
80,823.066,1.08771,0.88298,1.0577,0.65052,0.61951,0.65203,0.37681,1.54047,1.23507,1.32818,0.0004358,0.0004358,0.0004358
81,833.288,1.09296,0.81763,1.03622,0.63624,0.66978,0.65645,0.38371,1.51229,1.17541,1.30304,0.000416,0.000416,0.000416
82,843.523,1.07157,0.84331,1.04463,0.60421,0.70488,0.65255,0.37757,1.52311,1.15658,1.31659,0.0003962,0.0003962,0.0003962
